bii.di,che.de,elb.di,kne.di,age,wgt,hgt,sex
26,17.7,13.1,18.8,21,65.6,174,1
28.5,16.9,14,20.6,23,71.8,175.3,1
28.2,20.9,13.9,19.7,28,80.7,193.5,1
29.9,18.4,13.9,20.9,23,72.6,186.5,1
29.9,21.5,15.2,20.7,22,78.8,187.2,1
27,19.6,14,18.8,21,74.8,181.5,1
30,21.9,16.1,20.8,26,86.4,184,1
29.8,21.8,15.1,21,27,78.4,184.5,1
26.5,15.5,14.1,18.9,23,62,175,1
28,22.5,15.6,21.1,21,81.6,184,1
29,20.1,13.4,19.4,23,76.6,180,1
29,20.5,15,20.9,22,83.6,177.8,1
29.6,20.8,16.1,21.5,20,90,192,1
27.5,21.7,13.3,18.8,26,74.6,176,1
26.8,21.9,14.9,17.8,23,71,174,1
27,21.7,13.7,20.7,22,79.6,184,1
30,21,15.6,21.2,30,93.8,192.7,1
26.5,19.3,14.8,19.7,22,70,171.5,1
28.6,22.2,14.9,20.8,29,72.4,173,1
29.3,20.2,15.4,20.7,22,85.9,176,1
27.5,21.3,13.1,19.2,22,78.8,176,1
28,20,15,20.4,20,77.8,180.5,1
26.4,18,14.6,18.6,22,66.2,172.7,1
29.9,21.8,14.3,19.8,24,86.4,176,1
27.8,18.3,15.2,19.4,26,81.8,173.5,1
30.1,20.2,16.4,22.2,24,89.6,178,1
31.8,20.2,14.6,20.2,21,82.8,180.3,1
28.3,19.2,14.6,20.8,24,76.4,180.3,1
25.5,17.6,13,18.9,23,63.2,164.5,1
27.2,18.1,13.3,18.6,19,60.9,173,1
30.3,19.4,14.9,19.1,23,74.8,183.5,1
23.6,22.9,14.3,18.2,25,70,175.5,1
31,19.2,15.2,21.2,23,72.4,188,1
32,23.6,15.5,20.9,23,84.1,189.2,1
25.1,20.8,13.6,18.8,23,69.1,172.8,1
24.5,17.7,13.3,18.6,20,59.5,170,1
27.8,19,14.5,18.5,22,67.2,182,1
27.2,18.5,13.4,19,24,61.3,170,1
27.5,18.7,13.6,19,22,68.6,177.8,1
27.5,18.2,16.2,21,24,80.1,184.2,1
29.4,23.7,14.6,19.8,21,87.8,186.7,1
27.1,21.6,14.1,19.7,23,84.7,171.4,1
27.1,18.5,14.6,19.5,24,73.4,172.7,1
26.1,19.4,14.3,20,35,72.1,175.3,1
30.8,19.4,14.8,20.2,29,82.6,180.3,1
27.8,20.6,15.9,22.4,25,88.7,182.9,1
26.1,20.4,15.1,20,23,84.1,188,1
33.1,21.6,15.6,20.7,20,94.1,177.2,1
24.9,19.7,14.2,18,25,74.9,172.1,1
24.4,18,14.2,17.3,29,59.1,167,1
28.3,20.2,15,18.4,23,75.6,169.5,1
26.1,20.6,15.1,19.8,23,86.2,174,1
27.8,19.2,15.4,20.6,36,75.3,172.7,1
28,20.9,14.8,19.4,25,87.1,182.2,1
26.6,17.3,12.8,17,24,55.2,164.1,1
25.2,17,13.2,18.8,20,57,163,1
28.6,19.1,13.4,18.2,52,61.4,171.5,1
29,22.5,15.6,19.8,50,76.8,184.2,1
30.4,23.2,15.5,21.5,46,86.8,174,1
29.3,19.6,13.8,19.7,51,72.2,174,1
28.6,20.8,14.8,20.7,28,71.6,177,1
32.4,20.3,15.6,20.8,48,84.8,186,1
26,19.1,14.3,19.5,35,68.2,167,1
27.1,17.5,14.1,20.2,23,66.1,171.8,1
29.5,18.4,14,19.4,23,72,182,1
29.2,20,14.1,20.4,62,64.6,167,1
28.3,18.3,13.5,18.9,21,74.8,177.8,1
28.8,19.7,12.4,18.5,26,70,164.5,1
33.2,23.9,15.8,18.6,33,101.6,192,1
26.6,19.5,13.1,19,36,63.2,175.5,1
28.4,22.5,14.9,21,41,79.1,171.2,1
28.5,21.6,13.3,18.9,40,78.9,181.6,1
27.5,18.9,12.6,19.2,27,67.7,167.4,1
24.6,18.3,14,18.9,27,66,181.1,1
26.4,18.6,14.9,18.9,23,68.2,177,1
27.5,19.2,13.5,19.3,31,63.9,174.5,1
27.5,19.4,12.6,18.4,26,72,177.5,1
28.1,21.8,12.9,18.6,23,56.8,170.5,1
28.8,20.6,14.3,19.8,24,74.5,182.4,1
29.2,23.6,15.8,20.2,24,90.9,197.1,1
32.6,22.4,14.1,18.2,34,93,180.1,1
30.1,21.2,14,21.6,21,80.9,175.5,1
26.5,20.6,13.4,18.8,25,72.7,180.6,1
28.7,19.3,13.5,19.5,34,68,184.4,1
29.7,20.2,13.3,18.3,31,70.9,175.5,1
27.9,20.2,12.6,18.5,40,72.5,180.6,1
26.3,19.7,14.4,20.2,21,72.5,177,1
28.2,21.2,14.2,20,33,83.4,177.1,1
28.2,19.4,13.8,17.8,25,75.5,181.6,1
27.5,19.2,14.1,19.1,29,73,176.5,1
30,19.1,14.8,19.8,27,70.2,175,1
27.6,19.7,13.9,18.7,44,73.4,174,1
27.1,20.1,12.9,18.8,26,70.5,165.1,1
29.5,18.2,13.1,19.1,22,68.9,177,1
31,25,14.6,20.9,37,102.3,192,1
28.6,19.8,13.9,20,38,68.4,176.5,1
27.1,17.8,13.3,18.5,20,65.9,169.4,1
27,22.3,13.2,19.1,21,75.7,182.1,1
27.9,21.6,14.3,21.1,24,84.5,179.8,1
28,24.2,13.4,20.6,45,87.7,175.3,1
30.1,21.6,14.2,19.2,25,86.4,184.9,1
28,18.1,14.3,20.2,22,73.2,177.3,1
27.3,18.2,13.2,18.7,29,53.9,167.4,1
27.5,18.1,13.8,19,37,72,178.1,1
19.4,17.1,13,16.9,20,55.5,168.9,1
25.2,19.1,13,17.9,20,58.4,157.2,1
29.9,22.3,14.4,20.5,32,83.2,180.3,1
28,19.4,14.6,19.5,23,72.7,170.2,1
27.1,18.2,13.8,18.9,25,64.1,177.8,1
24.9,19,14.4,19.5,27,72.3,172.7,1
28.5,17.7,14,19.1,21,65,165.1,1
30.2,21.8,15.2,19.8,27,86.4,186.7,1
24.4,17.7,12.9,18,25,65,165.1,1
31.7,22.8,13.8,19.4,38,88.6,174,1
30.6,22.1,15,20.2,44,84.1,175.3,1
28.3,19.4,13.4,19,27,66.8,185.4,1
28.5,21.1,14.3,19,37,75.5,177.8,1
30.6,23.3,15.6,21.6,28,93.2,180.3,1
27.8,21.8,15,20.4,33,82.7,180.3,1
25.4,14.4,12.6,18.8,25,58,177.8,1
28.5,20.2,15.6,19.7,21,79.5,177.8,1
29.2,18.7,14.6,20,30,78.6,177.8,1
28.5,19.4,14,19,26,71.8,177.8,1
32,23.5,16.1,23,27,116.4,177.8,1
26.8,21.4,13.8,18.2,33,72.2,163.8,1
28.7,18.2,15.2,19.6,29,83.6,188,1
30.6,21.6,15,20.5,27,85.5,198.1,1
29.7,22.1,15.2,21.2,34,90.9,175.3,1
30.4,21.1,13.6,19.2,42,85.9,166.4,1
30.6,22.1,15.3,20.9,29,89.1,190.5,1
26.8,21.4,13.6,19.1,41,75,166.4,1
25.6,23.5,14,21.2,43,77.7,177.8,1
29,25.2,14.4,19.7,43,86.4,179.7,1
27.5,22.5,14.6,20.5,29,90.9,172.7,1
25.6,23.3,14.1,19,27,73.6,190.5,1
30.6,21.1,15,21,62,76.4,185.4,1
27.8,19.7,13.1,18.4,33,69.1,168.9,1
29.7,23,14.2,20.4,45,84.5,167.6,1
26.1,20.2,13.2,18.6,30,64.5,175.3,1
23,21.8,15,19.3,20,69.1,170.2,1
28,27.5,14.6,21.4,22,108.6,190.5,1
29,22.5,14.3,19.8,51,86.4,177.8,1
27.8,20.2,14.3,19.6,34,80.9,190.5,1
27.1,24.9,14.4,18,44,87.7,177.8,1
30.4,21.6,15.4,20.4,46,94.5,184.2,1
26.8,20.4,13.6,18.9,34,80.2,176.5,1
28.7,18,15.2,20.7,32,72,177.8,1
26.8,18,12.9,18,28,71.4,180.3,1
26.4,19.2,14.6,19.6,31,72.7,171.4,1
26.8,21.4,15,20.4,29,84.1,172.7,1
25.4,21.6,14.3,19.6,42,76.8,172.7,1
26.1,18.2,13.6,17.6,29,63.6,177.8,1
27.1,20.4,14.8,19.4,31,80.9,177.8,1
29.7,22.3,15.6,19.5,30,80.9,182.9,1
27.8,20.2,14.6,21.5,27,85.5,170.2,1
25.9,19.4,14.3,18.7,25,68.6,167.6,1
27.3,20.4,15,19.1,24,67.7,175.3,1
25.2,18.7,13.2,18.9,33,66.4,165.1,1
30.4,24,15.4,17.8,45,102.3,185.4,1
27.8,18,14.6,19.5,37,70.5,181.6,1
30.6,24.9,14.9,18.9,44,95.9,172.7,1
30.8,20.9,15.2,18.6,34,84.1,190.5,1
30.8,22.1,16,19.5,55,87.3,179.1,1
25.4,19.2,14.8,18.7,43,71.8,175.3,1
29.2,19.7,14.8,18,24,65.9,170.2,1
32.2,22.5,15.8,20.5,22,95.9,193,1
34.7,23.5,14.8,20.6,38,91.4,171.4,1
28.7,20.2,14.3,19.6,24,81.8,177.8,1
30.2,25.4,15.2,18.8,29,96.8,177.8,1
29,20.2,13.8,18.4,25,69.1,167.6,1
28,23.3,14,19.7,37,82.7,167.6,1
27.1,17.3,14.4,21.2,30,75.5,180.3,1
26.8,25.4,15,18.4,26,79.5,182.9,1
28.7,22.1,14.3,18.5,35,73.6,176.5,1
28.5,23.7,15.8,19.3,29,91.8,186.7,1
30.8,20.4,14.3,19.6,30,84.1,188,1
31.3,19.4,14.8,20.1,37,85.9,188,1
30.8,22.5,13,19.7,34,81.8,177.8,1
24.7,22.5,14.8,20.4,28,82.5,174,1
26.6,23.3,14.2,19.5,27,80.5,177.8,1
25.9,19.9,14.8,19.4,32,70,171.4,1
28.5,19.2,14.8,21.2,28,81.8,185.4,1
26.4,21.4,14.8,20,22,84.1,185.4,1
31.3,23,15.7,20.5,44,90.5,188,1
29,25.4,15.4,18.8,25,91.4,188,1
29.7,23.5,14.3,18.2,49,89.1,182.9,1
28.7,23.7,15.8,19.3,54,85,176.5,1
27.3,20.2,13.8,18,49,69.1,175.3,1
29.7,24.9,15.3,19.2,60,73.6,175.3,1
29.7,19.9,15.5,19.6,42,80.5,188,1
31.1,22.1,15.2,19,52,82.7,188,1
29.8,22.4,15.6,19.6,23,86.4,175.3,1
29.2,19.2,13.8,18.6,33,67.7,170.5,1
29.4,24.7,14.2,19.4,46,92.7,179.1,1
28.5,23.5,15.6,18.4,43,93.6,177.8,1
29.7,22.8,13.1,17.3,56,70.9,175.3,1
27.8,19,15.1,19.2,21,75,182.9,1
28,19.4,14.4,18.6,18,93.2,170.8,1
29.7,22.8,15.5,18.4,21,93.2,188,1
28.7,21.6,15,18.7,45,77.7,180.3,1
26.8,19.7,14,18.4,22,61.4,177.8,1
31.1,26.4,15,18.8,55,94.1,185.4,1
27.8,21.1,14.8,17.6,42,75,168.9,1
27.3,19.9,14,20.2,29,83.6,185.4,1
27.8,21.1,15.6,21.2,40,85.5,180.3,1
25.2,20.9,15.3,18.9,24,73.9,174,1
28.3,18.2,12.9,20.2,62,66.8,167.6,1
27.8,22.3,16.6,20.8,26,87.3,182.9,1
28.3,19.7,12.9,18.6,35,72.3,160,1
29.9,21.4,14.5,20.4,37,88.6,180.3,1
26.8,20.2,14.4,20.4,34,75.5,167.6,1
29.4,23.5,15.1,21.8,25,101.4,186.7,1
29.4,19.9,14.5,21.3,30,91.1,175.3,1
24.4,18,14.3,18.3,32,67.3,175.3,1
29.2,19.9,14.8,20.7,27,77.7,175.9,1
29,21.4,15.3,20.6,42,81.8,175.3,1
27.8,20.6,15.3,20.4,44,75.5,179.1,1
30.2,20.6,14.5,20,46,84.5,181.6,1
27.1,20.2,13.7,18.9,19,76.6,177.8,1
31.3,20.6,16.7,21,43,85,182.9,1
29.4,24.2,14.2,20.6,28,102.5,177.8,1
24,20.6,14.2,20.2,39,77.3,184.2,1
24.4,18.7,14.3,17.8,30,71.8,179.1,1
28.7,25.2,14.3,18,36,87.9,176.5,1
27.1,25.2,15.2,19.3,48,94.3,188,1
27.1,20.6,13.9,19.1,48,70.9,174,1
24.2,17.7,13.8,17.8,53,64.5,167.6,1
24,21.6,13.6,18.8,45,77.3,170.2,1
24.4,19.7,13.8,19,39,72.3,167.6,1
27.1,21.6,15,20.5,43,87.3,188,1
28.3,23.7,14.3,19,65,80,174,1
26.8,23.7,14.2,19.1,45,82.3,176.5,1
26.6,19.9,14.6,19.2,37,73.6,180.3,1
26.6,24,13.8,20,55,74.1,167.6,1
26.4,21.8,15.8,20.7,33,85.9,188,1
25.6,21.1,15.6,20.2,25,73.2,180.3,1
26.4,21.6,14.4,19.6,35,76.3,167.6,1
26.4,20.2,14.6,18.4,28,65.9,183,1
26.8,22.1,15.4,20.5,26,90.9,183,1
29.2,23.7,15.2,20,43,89.1,179.1,1
23.5,19.7,15.4,19,30,62.3,170.2,1
25.4,20.6,16.1,19.3,26,82.7,177.8,1
27.3,21.8,14.9,18.9,51,79.1,179.1,1
32.2,25.4,16,21,30,98.2,190.5,1
28,26.4,15.6,21.2,24,84.1,177.8,1
27.8,21.4,14.3,21,35,83.2,180.3,1
28.5,19.7,14.5,19.4,37,83.2,180.3,1
25,16.2,11.2,17,22,51.6,161.2,0
26.4,16.8,12.1,19.3,20,59,167.5,0
25.9,16.4,11.3,17,19,49.2,159.5,0
27.9,19.3,12.3,18.6,25,63,157,0
28.2,18.2,11.5,17.2,21,53.6,155.8,0
28,15.1,12.5,17.2,23,59,170,0
26.5,15.4,12.3,17.2,26,47.6,159.1,0
30.2,18.8,13.3,19.8,22,69.8,166,0
29,18.6,12.1,17.8,28,66.8,176.2,0
28.8,19.7,13.4,20.9,40,75.2,160.2,0
28.5,15.5,11.8,17.1,32,55.2,172.5,0
25.6,15.4,12.8,17.6,25,54.2,170.9,0
30,17.3,12.8,18.1,25,62.5,172.9,0
25,16.9,10.6,15.9,29,42,153.4,0
26.5,18.3,11.5,16.8,22,50,160,0
25.8,16.2,11.5,17.2,25,49.8,147.2,0
27.4,14.6,11.2,16.7,23,49.2,168.2,0
28.4,19.6,13.4,18.9,37,73.2,175,0
25.6,15.3,10.3,16.2,19,47.8,157,0
30,19.1,13.4,19.2,23,68.8,167.6,0
27.5,15.4,11.1,16.4,25,50.6,159.5,0
29.6,21.3,13.7,21.5,26,82.5,175,0
27.9,15.1,13.2,18.1,24,57.2,166.8,0
31.8,19.9,12.5,21,29,87.8,176.5,0
29.2,19.6,13.1,20,22,72.8,170.2,0
28.2,15.8,12,18.4,30,54.5,174,0
27.5,17.2,12.6,18,23,59.8,173,0
28.6,18,12.4,19.3,38,67.3,179.9,0
29.6,17.4,12.6,18.8,23,67.8,170.5,0
26,16.1,12.4,17.2,19,47,160,0
26.4,18.6,11.3,17.2,46,46.2,154.4,0
27.9,15.6,11.9,18.2,20,55,162,0
29.7,20.1,13.2,20.3,22,83,176.5,0
28.2,14.3,11.8,18,25,54.4,160,0
26.3,16,11.3,16.5,21,45.8,152,0
22.1,16.7,12.3,16.8,23,53.6,162.1,0
31.6,19,12.7,18.2,31,73.2,170,0
24.3,15,11.5,17.2,29,52.1,160.2,0
28,17.3,12.9,17.8,19,67.9,161.3,0
26.4,17.3,12.7,18.9,21,56.6,166.4,0
27.3,18,12.4,18.8,23,62.3,168.9,0
28.7,19,13.1,18.6,24,58.5,163.8,0
28,15.6,11.2,17.9,20,54.5,167.6,0
24.9,17.3,12.8,17.4,19,50.2,160,0
27.1,16,11.8,17.3,20,60.3,161.3,0
29.2,14.8,12.6,18.4,19,58.3,167.6,0
25.2,16.5,12.6,17.6,20,56.2,165.1,0
27.3,17,12,16.8,19,50.2,160,0
28.7,19.2,12.8,18,22,72.9,170,0
27.1,19,12.4,18,39,59.8,157.5,0
28.3,16.3,12.9,18.4,18,61,167.6,0
28.7,18.7,12,17.4,19,69.1,160.7,0
27.3,19,12.9,17.9,26,55.9,163.2,0
23.5,16.5,11.7,16.8,20,46.5,152.4,0
27.8,16.5,12.6,17.6,20,54.3,157.5,0
26.4,15.1,13,17.6,26,54.8,168.3,0
29.7,17.3,13.4,18.4,21,60.7,180.3,0
26.6,16.5,12.4,18.3,21,60,165.5,0
30.4,18.7,12.4,18.1,38,62,165,0
29.2,16.5,13,18.6,23,60.3,164.5,0
27.5,15.6,12.4,18.4,37,52.7,156,0
29.2,18,13.4,19.8,19,74.3,160,0
27,19.3,11.5,17.1,25,62,163,0
29,17.7,13.8,19.8,20,73.1,165.7,0
30.4,21.4,14.2,20.7,41,80,161,0
28.3,17,10.9,17.3,26,54.7,162,0
25.7,15.5,11.5,17.8,21,53.2,166,0
30,19.4,12.6,19.5,47,75.7,174,0
29,15.6,11.5,18.4,19,61.1,172.7,0
26.9,16.1,13.4,18.8,44,55.7,167.6,0
26.4,14.9,12.2,18,35,48.7,151.1,0
27.5,17.7,12,17.7,32,52.3,164.5,0
27.4,18.2,12.8,17.8,46,50,163.5,0
26.4,16.6,12.6,18.9,22,59.3,152,0
30.2,17.5,13.2,19.4,49,62.5,169,0
28.6,17.5,12.8,18.7,52,55.7,164,0
30.2,16.8,11.5,17.4,25,54.8,161.2,0
28.1,17.1,12,19,48,45.9,155,0
27.2,17.2,12.9,18.2,41,70.6,170,0
26.2,17.3,13.1,17.9,18,67.2,176.2,0
24.2,15.3,13.1,22.1,30,69.4,170,0
26,15.9,12.1,17,20,58.2,162.5,0
27.4,18.9,14,19.1,24,64.8,170.3,0
20,17.6,13.6,18.5,23,71.6,164.1,0
26.1,18.8,12,17.5,30,52.8,169.5,0
23.5,16.4,12.6,17.5,23,59.8,163.2,0
24.6,15.8,11.3,16.9,45,49,154.5,0
25.6,18,10.1,16.3,20,50,159.8,0
28.2,17.5,12.2,17.8,20,69.2,173.2,0
27,16.6,11.9,18,23,55.9,170,0
28,20.4,12.4,18.5,21,63.4,161.4,0
28.6,17.3,11.8,18.8,28,58.2,169,0
25.5,16,11.9,18.6,45,58.6,166.2,0
24.3,15.8,11.6,16.3,24,45.7,159.4,0
24.1,17.9,12,17.5,25,52.2,162.5,0
24.3,16.2,12.1,16.8,19,48.6,159,0
26.2,17.8,12.4,17.2,20,57.8,162.8,0
28.1,17.9,11.1,18,29,55.6,159,0
24.5,21.4,13.4,18.2,24,66.8,179.8,0
24.4,18.1,12.3,17.1,24,59.4,162.9,0
26.8,16.2,11,17.8,25,53.6,161,0
25.1,20,11.6,21,31,73.2,151.1,0
27.7,16.4,11.5,17.1,22,53.4,168.2,0
25.6,17.9,12.6,18.6,20,69,168.9,0
29.9,17.3,10.9,15.7,32,58.4,173.2,0
27,16.5,12.1,18,25,56.2,171.8,0
29.8,19.2,13,19.1,19,70.6,178,0
26.3,19,11.6,18.8,23,59.8,164.3,0
29,18.6,12.7,18.2,22,72,163,0
25,16.6,12.4,18.6,20,65.2,168.5,0
25.9,16.9,11.7,16.9,27,56.6,166.8,0
31,21.3,14.1,24.3,34,105.2,172.7,0
28.3,17.4,10.7,16.8,25,51.8,163.5,0
25.9,14.7,13.2,18.1,26,63.4,169.4,0
27.6,18.6,11.8,18,19,59,167.8,0
25,15.4,10.8,16.8,26,47.6,159.5,0
26.9,16.6,12.9,18.1,25,63,167.6,0
23.5,17.2,11.5,16.1,20,55.2,161.2,0
26.2,16.1,10.6,16.4,21,45,160,0
20.3,17.3,11.6,17.9,18,54,163.2,0
23.7,15.4,11.5,16.6,19,50.2,162.2,0
27.1,16.5,12.8,18.8,27,60.2,161.3,0
20.9,17.2,11.3,16,26,44.8,149.5,0
23,17,13.1,17,36,58.8,157.5,0
26.5,17.4,12,17.7,20,56.4,163.2,0
24.9,16.5,12.4,18.4,28,62,172.7,0
27.8,16.5,9.9,17,32,49.2,155,0
27.5,20.4,11.8,17.8,32,67.2,156.5,0
23.4,16.2,12.1,16.1,23,53.8,164,0
25.2,15.4,11.2,16.8,20,54.4,160.9,0
25.1,18.1,11.6,16.8,20,58,162.8,0
27.1,19.5,12.4,18.2,20,59.8,167,0
24.4,15.1,13,17.3,23,54.8,160,0
26.2,14.6,10.4,16,20,43.2,160,0
28.1,18.8,11.5,17.5,28,60.5,168.9,0
27.7,17,11.2,16.9,23,46.4,158.2,0
27.7,20.6,11.6,17.9,19,64.4,156,0
18.7,16.1,11.2,16.1,28,48.8,160,0
25,17.1,13,17.5,19,62.2,167.1,0
26,17.3,11.1,17.1,29,55.5,158,0
26,17.6,12.3,18.3,32,57.8,167.6,0
24.9,16.6,12.5,18.1,20,54.6,156,0
26,18.8,12.3,18.4,28,59.2,162.1,0
27.7,17.4,12,17.5,36,52.7,173.4,0
24.3,18.2,11,16.6,22,53.2,159.8,0
29.2,18.3,11,18.7,20,64.5,170.5,0
27.1,18.5,11.9,15.9,22,51.8,159.2,0
27,17.8,11.6,18.2,32,56,157.5,0
28.3,19.2,12,18.4,40,63.6,161.3,0
28.3,18.7,13.9,18.9,40,63.2,162.6,0
28.7,17.7,12.6,18.2,42,59.5,160,0
31.1,16.8,13,18.4,40,56.8,168.9,0
28,18,12.6,18.8,44,64.1,165.1,0
28.3,18.2,13,17.7,30,50,162.6,0
30.2,21.6,13.2,19.6,28,72.3,165.1,0
27.5,16.3,12.8,18,37,55,166.4,0
28,16.3,12.2,17.6,40,55.9,160,0
26.6,18.5,12,19.4,45,60.4,152.4,0
31.7,19.2,13.2,18.6,35,69.1,170.2,0
30.7,24.7,14,21.2,41,84.5,162.6,0
28,17.3,13.1,18.4,27,55.9,170.2,0
25.2,17.3,12.9,18,20,55.5,158.8,0
28,16.8,12.7,18.1,24,69.5,172.7,0
31.7,22.3,12.4,19.6,36,76.4,167.6,0
30.4,18.7,12.4,19.4,27,61.4,162.6,0
27.1,17.3,13.2,19,32,65.9,167.6,0
30.2,20.6,12.4,18.4,64,58.6,156.2,0
30.4,18.2,13.8,19,21,66.8,175.2,0
30.8,15.8,13.1,18.6,32,56.6,172.1,0
30.2,18.7,12.4,18.4,35,58.6,162.6,0
26.4,19.2,11.8,17.3,41,55.9,160,0
26.6,18.2,13.1,20,40,59.1,165.1,0
33.3,20.9,14,18.9,29,81.8,182.9,0
29,20.9,12.7,18.6,40,70.7,166.4,0
26.6,18.5,12.4,17.9,24,56.8,165.1,0
29,19.7,12.4,18.6,23,60,177.8,0
28,19.4,12.9,17.9,41,58.2,165.1,0
31.3,17,12.4,19.2,44,72.7,175.3,0
23.7,18.5,12.8,17.7,53,54.1,154.9,0
23.3,15.3,12.4,17.1,19,49.1,158.8,0
26.6,22.3,13.8,20,24,75.9,172.7,0
29.4,15.8,11.8,18.2,25,55,168.9,0
25.6,16.8,12.6,18.2,20,57.3,161.3,0
30.2,15.3,12.2,17.9,34,55,167.6,0
31.3,17.7,13.2,17.8,32,65.5,165.1,0
30.8,17,13.6,19,24,65.5,175.3,0
20.9,19,12.2,16,29,48.6,157.5,0
28.3,17.7,12.2,17.3,31,58.6,163.8,0
32,16.8,13.4,18.8,34,63.6,167.6,0
29.2,18,12.8,17.6,36,55.2,165.1,0
31.3,20.2,11.3,18.9,32,62.7,165.1,0
25.4,17.3,12.4,17.5,39,56.6,168.9,0
27.3,17.7,12.6,17.4,37,53.9,162.6,0
32,19.7,13,18.4,52,63.2,164.5,0
31.1,21.1,12.9,18.6,24,73.6,176.5,0
29,16.3,12.2,18.8,33,62,168.9,0
30.4,18.2,13.4,19.5,42,63.6,175.3,0
25.9,18,12,17.6,34,53.2,159.4,0
29.4,19.9,13.4,18.4,37,53.4,160,0
29.4,17.7,13.4,18.4,39,55,170.2,0
28,16.3,13.6,20.4,41,70.5,162.6,0
28.3,16.3,12.2,16.8,36,54.5,167.6,0
27.8,19.9,12.9,17.2,19,54.5,162.6,0
26.1,16.5,12,17.3,22,55.9,160.7,0
24.7,17.7,12.8,18.4,23,59,160,0
26.8,17.3,11.2,17.4,36,63.6,157.5,0
28.5,18,12.9,18.6,45,54.5,162.6,0
27.8,16.3,11.6,17.2,25,47.3,152.4,0
29.9,18.5,14.3,19.6,67,67.7,170.2,0
29.9,18,13.8,20,26,80.9,165.1,0
29.2,18,13.2,19.2,21,70.5,172.7,0
29.4,17,12.2,17.6,33,60.9,165.1,0
26.8,18.5,11.5,17.8,25,63.6,170.2,0
26.8,16.5,11.8,18.4,24,54.5,170.2,0
29,18,12.4,17.9,21,59.1,170.2,0
29.2,17.5,11.6,18.7,35,70.5,161.3,0
28.3,14.4,11.7,16.4,27,52.7,167.6,0
27.8,20.6,12.4,18.2,27,62.7,167.6,0
30.2,21.8,13,20.6,26,86.3,165.1,0
29.4,17.7,12.8,18.7,25,66.4,162.6,0
26.8,23.3,12.4,17.5,44,67.3,152.4,0
29.4,16.5,12.2,19.4,29,63,168.9,0
28.5,19.2,13.3,19.1,26,73.6,170.2,0
29,17.7,12.7,18.2,23,62.3,175.2,0
28.3,16.8,13.2,17.8,32,57.7,175.2,0
26.6,17,11.8,17,32,55.4,160,0
33.3,20.6,15,22.6,43,104.1,165.1,0
25.2,18.5,12,17,32,55.5,174,0
29.9,18.2,13.2,19.2,41,77.3,170.2,0
30.8,26.8,12.4,18.2,33,80.5,160,0
27.3,17.5,12.4,17.6,28,64.5,167.6,0
29,20.6,12.7,18.2,28,72.3,167.6,0
28.7,18.2,12.9,16.8,25,61.4,167.6,0
25.9,20.2,11.4,16.6,38,58.2,154.9,0
31.3,20.9,13,17.8,37,81.8,162.6,0
31.5,17.5,12.9,17.9,25,63.6,175.3,0
27.5,18.5,11.6,17,37,53.4,171.4,0
26.8,16.3,11,16.4,27,54.5,157.5,0
28.5,15.6,11.6,17.2,27,53.6,165.1,0
29.4,18,11.8,18,20,60,160,0
28.3,21.6,12.8,19.5,19,73.6,174,0
28.3,17.7,12,17.1,32,61.4,162.6,0
27.3,18.2,11.2,17.5,26,55.5,174,0
29.7,17.5,12.6,17.7,56,63.6,162.6,0
26.6,16,12.6,17,23,60.9,161.3,0
25.6,17,11.8,16.8,19,60,156.2,0
25.4,15.1,10.6,17,31,46.8,149.9,0
28.7,16,12.4,17.9,34,57.3,169.5,0
28.7,16.8,13.4,17.9,34,64.1,160,0
29.7,15.8,12.8,18.4,24,63.6,175.3,0
25.2,19.2,14,18.9,22,67.3,169.5,0
29.4,17.7,12.4,20.2,34,75.5,160,0
29.7,18.5,13.4,18.4,30,68.2,172.7,0
27.5,19.4,13.1,17.6,32,61.4,162.6,0
29.7,20.2,13.3,18.9,40,76.8,157.5,0
30.4,17,12.9,19.5,29,71.8,176.5,0
28.7,17.7,12.4,17.3,21,55.5,164.4,0
24.9,17.3,12,18,33,48.6,160.7,0
29,15.3,12,18.6,33,66.4,174,0
29,20.4,13.4,18.7,38,67.3,163.8,0
